option_a,option_b,target
186b,420b,226b
186b,431a,226b
186b,484a,226b
186b,552a,226b
186b,555a,226b
186b,626a,226b
186b,631a,226b
186b,70a,226b
186b,70b,226b
186b,73a,226b
186b,73b,226b
186b,84a,226b
186b,93a,226b
186b,93b,226b
201a,202a,226b
201a,202b,226b
201a,226a,226b
201a,241a,226b
201a,241b,226b
201a,307a,226b
201a,307b,226b
201a,353a,226b
201a,355a,226b
201a,360a,226b
201a,370a,226b
201a,418a,226b
201a,420a,226b
201a,420b,226b
201a,431a,226b
201a,484a,226b
201a,552a,226b
201a,555a,226b
201a,626a,226b
201a,631a,226b
201a,70a,226b
201a,70b,226b
201a,73a,226b
201a,73b,226b
201a,84a,226b
201a,93a,226b
201a,93b,226b
202a,202b,226b
202a,226a,226b
202a,241a,226b
202a,241b,226b
202a,307a,226b
202a,307b,226b
202a,353a,226b
202a,355a,226b
202a,360a,226b
202a,370a,226b
202a,418a,226b
202a,420a,226b
202a,420b,226b
202a,431a,226b
202a,484a,226b
202a,552a,226b
202a,555a,226b
202a,626a,226b
202a,631a,226b
202a,70a,226b
202a,70b,226b
202a,73a,226b
202a,73b,226b
202a,84a,226b
202a,93a,226b
202a,93b,226b
202b,226a,226b
202b,241a,226b
202b,241b,226b
202b,307a,226b
202b,307b,226b
202b,353a,226b
202b,355a,226b
202b,360a,226b
202b,370a,226b
202b,418a,226b
202b,420a,226b
202b,420b,226b
202b,431a,226b
202b,484a,226b
202b,552a,226b
202b,555a,226b
202b,626a,226b
202b,631a,226b
202b,70a,226b
202b,70b,226b
202b,73a,226b
202b,73b,226b
202b,84a,226b
202b,93a,226b
202b,93b,226b
226a,241a,226b
226a,241b,226b
226a,307a,226b
226a,307b,226b
226a,353a,226b
226a,355a,226b
226a,360a,226b
226a,370a,226b
226a,418a,226b
226a,420a,226b
226a,420b,226b
226a,431a,226b
226a,484a,226b
226a,552a,226b
226a,555a,226b
226a,626a,226b
226a,631a,226b
226a,70a,226b
226a,70b,226b
226a,73a,226b
226a,73b,226b
226a,84a,226b
226a,93a,226b
226a,93b,226b
241a,241b,226b
241a,307a,226b
241a,307b,226b
241a,353a,226b
241a,355a,226b
241a,360a,226b
241a,370a,226b
241a,418a,226b
241a,420a,226b
241a,420b,226b
241a,431a,226b
241a,484a,226b
241a,552a,226b
241a,555a,226b
241a,626a,226b
241a,631a,226b
241a,70a,226b
241a,70b,226b
241a,73a,226b
241a,73b,226b
241a,84a,226b
241a,93a,226b
241a,93b,226b
241b,307a,226b
241b,307b,226b
241b,353a,226b
241b,355a,226b
241b,360a,226b
241b,370a,226b
241b,418a,226b
241b,420a,226b
241b,420b,226b
241b,431a,226b
241b,484a,226b
241b,552a,226b
241b,555a,226b
241b,626a,226b
241b,631a,226b
241b,70a,226b
241b,70b,226b
241b,73a,226b
241b,73b,226b
241b,84a,226b
241b,93a,226b
241b,93b,226b
307a,307b,226b
307a,353a,226b
307a,355a,226b
307a,360a,226b
307a,370a,226b
307a,418a,226b
307a,420a,226b
307a,420b,226b
307a,431a,226b
307a,484a,226b
307a,552a,226b
307a,555a,226b
307a,626a,226b
307a,631a,226b
307a,70a,226b
307a,70b,226b
307a,73a,226b
307a,73b,226b
307a,84a,226b
307a,93a,226b
307a,93b,226b
307b,353a,226b
307b,355a,226b
307b,360a,226b
307b,370a,226b
307b,418a,226b
307b,420a,226b
307b,420b,226b
307b,431a,226b
307b,484a,226b
307b,552a,226b
307b,555a,226b
307b,626a,226b
307b,631a,226b
307b,70a,226b
307b,70b,226b
307b,73a,226b
307b,73b,226b
307b,84a,226b
307b,93a,226b
307b,93b,226b
353a,355a,226b
353a,360a,226b
353a,370a,226b
353a,418a,226b
353a,420a,226b
353a,420b,226b
353a,431a,226b
353a,484a,226b
353a,552a,226b
353a,555a,226b
353a,626a,226b
353a,631a,226b
353a,70a,226b
353a,70b,226b
353a,73a,226b
353a,73b,226b
353a,84a,226b
353a,93a,226b
353a,93b,226b
355a,360a,226b
355a,370a,226b
355a,418a,226b
355a,420a,226b
355a,420b,226b
355a,431a,226b
355a,484a,226b
355a,552a,226b
355a,555a,226b
355a,626a,226b
355a,631a,226b
355a,70a,226b
355a,70b,226b
355a,73a,226b
355a,73b,226b
355a,84a,226b
355a,93a,226b
355a,93b,226b
360a,370a,226b
360a,418a,226b
360a,420a,226b
360a,420b,226b
360a,431a,226b
360a,484a,226b
360a,552a,226b
360a,555a,226b
360a,626a,226b
360a,631a,226b
360a,70a,226b
360a,70b,226b
360a,73a,226b
360a,73b,226b
360a,84a,226b
360a,93a,226b
360a,93b,226b
370a,418a,226b
370a,420a,226b
370a,420b,226b
370a,431a,226b
370a,484a,226b
370a,552a,226b
370a,555a,226b
370a,626a,226b
370a,631a,226b
370a,70a,226b
370a,70b,226b
370a,73a,226b
370a,73b,226b
370a,84a,226b
370a,93a,226b
370a,93b,226b
418a,420a,226b
418a,420b,226b
418a,431a,226b
418a,484a,226b
418a,552a,226b
418a,555a,226b
418a,626a,226b
418a,631a,226b
418a,70a,226b
418a,70b,226b
418a,73a,226b
418a,73b,226b
418a,84a,226b
418a,93a,226b
418a,93b,226b
420a,420b,226b
420a,431a,226b
420a,484a,226b
420a,552a,226b
420a,555a,226b
420a,626a,226b
420a,631a,226b
420a,70a,226b
420a,70b,226b
420a,73a,226b
420a,73b,226b
420a,84a,226b
420a,93a,226b
420a,93b,226b
420b,431a,226b
420b,484a,226b
420b,552a,226b
420b,555a,226b
420b,626a,226b
420b,631a,226b
420b,70a,226b
420b,70b,226b
420b,73a,226b
420b,73b,226b
420b,84a,226b
420b,93a,226b
420b,93b,226b
431a,484a,226b
431a,552a,226b
431a,555a,226b
431a,626a,226b
431a,631a,226b
431a,70a,226b
431a,70b,226b
431a,73a,226b
431a,73b,226b
431a,84a,226b
431a,93a,226b
431a,93b,226b
484a,552a,226b
484a,555a,226b
484a,626a,226b
484a,631a,226b
484a,70a,226b
484a,70b,226b
484a,73a,226b
484a,73b,226b
484a,84a,226b
484a,93a,226b
484a,93b,226b
552a,555a,226b
552a,626a,226b
552a,631a,226b
552a,70a,226b
552a,70b,226b
552a,73a,226b
552a,73b,226b
552a,84a,226b
552a,93a,226b
552a,93b,226b
555a,626a,226b
555a,631a,226b
555a,70a,226b
555a,70b,226b
555a,73a,226b
555a,73b,226b
555a,84a,226b
555a,93a,226b
555a,93b,226b
626a,631a,226b
626a,70a,226b
626a,70b,226b
626a,73a,226b
626a,73b,226b
626a,84a,226b
626a,93a,226b
626a,93b,226b
631a,70a,226b
631a,70b,226b
631a,73a,226b
631a,73b,226b
631a,84a,226b
631a,93a,226b
631a,93b,226b
70a,70b,226b
70a,73a,226b
70a,73b,226b
70a,84a,226b
70a,93a,226b
70a,93b,226b
70b,73a,226b
70b,73b,226b
70b,84a,226b
70b,93a,226b
70b,93b,226b
73a,73b,226b
73a,84a,226b
73a,93a,226b
73a,93b,226b
73b,84a,226b
73b,93a,226b
73b,93b,226b
84a,93a,226b
84a,93b,226b
93a,93b,226b
144a,144b,241a
144a,151a,241a
144a,151b,241a
144a,167a,241a
144a,167b,241a
144a,186a,241a
144a,186b,241a
144a,201a,241a
144a,202a,241a
144a,202b,241a
144a,226a,241a
144a,226b,241a
144a,241b,241a
144a,307a,241a
144a,307b,241a
144a,353a,241a
144a,355a,241a
144a,360a,241a
144a,370a,241a
144a,418a,241a
144a,420a,241a
144a,420b,241a
144a,431a,241a
144a,484a,241a
144a,552a,241a
144a,555a,241a
144a,626a,241a
144a,631a,241a
144a,70a,241a
144a,70b,241a
144a,73a,241a
144a,73b,241a
144a,84a,241a
144a,93a,241a
144a,93b,241a
144b,151a,241a
144b,151b,241a
144b,167a,241a
144b,167b,241a
144b,186a,241a
144b,186b,241a
144b,201a,241a
144b,202a,241a
144b,202b,241a
144b,226a,241a
144b,226b,241a
144b,241b,241a
144b,307a,241a
144b,307b,241a
144b,353a,241a
144b,355a,241a
144b,360a,241a
144b,370a,241a
144b,418a,241a
144b,420a,241a
144b,420b,241a
144b,431a,241a
144b,484a,241a
144b,552a,241a
144b,555a,241a
144b,626a,241a
144b,631a,241a
144b,70a,241a
144b,70b,241a
144b,73a,241a
144b,73b,241a
144b,84a,241a
144b,93a,241a
144b,93b,241a
151a,151b,241a
151a,167a,241a
151a,167b,241a
151a,186a,241a
151a,186b,241a
151a,201a,241a
151a,202a,241a
151a,202b,241a
151a,226a,241a
151a,226b,241a
151a,241b,241a
151a,307a,241a
151a,307b,241a
151a,353a,241a
151a,355a,241a
151a,360a,241a
151a,370a,241a
151a,418a,241a
151a,420a,241a
151a,420b,241a
151a,431a,241a
151a,484a,241a
151a,552a,241a
151a,555a,241a
151a,626a,241a
151a,631a,241a
151a,70a,241a
151a,70b,241a
151a,73a,241a
151a,73b,241a
151a,84a,241a
151a,93a,241a
151a,93b,241a
151b,167a,241a
151b,167b,241a
151b,186a,241a
151b,186b,241a
151b,201a,241a
151b,202a,241a
151b,202b,241a
151b,226a,241a
151b,226b,241a
151b,241b,241a
151b,307a,241a
151b,307b,241a
151b,353a,241a
151b,355a,241a
151b,360a,241a
151b,370a,241a
151b,418a,241a
151b,420a,241a
151b,420b,241a
151b,431a,241a
151b,484a,241a
151b,552a,241a
151b,555a,241a
151b,626a,241a
151b,631a,241a
151b,70a,241a
151b,70b,241a
151b,73a,241a
151b,73b,241a
151b,84a,241a
151b,93a,241a
151b,93b,241a
167a,167b,241a
167a,186a,241a
167a,186b,241a
167a,201a,241a
167a,202a,241a
167a,202b,241a
167a,226a,241a
167a,226b,241a
167a,241b,241a
167a,307a,241a
167a,307b,241a
167a,353a,241a
167a,355a,241a
167a,360a,241a
167a,370a,241a
167a,418a,241a
167a,420a,241a
167a,420b,241a
167a,431a,241a
167a,484a,241a
167a,552a,241a
167a,555a,241a
167a,626a,241a
167a,631a,241a
167a,70a,241a
167a,70b,241a
167a,73a,241a
167a,73b,241a
167a,84a,241a
167a,93a,241a
167a,93b,241a
167b,186a,241a
167b,186b,241a
167b,201a,241a
167b,202a,241a
167b,202b,241a
167b,226a,241a
167b,226b,241a
167b,241b,241a
167b,307a,241a
167b,307b,241a
167b,353a,241a
167b,355a,241a
167b,360a,241a
167b,370a,241a
167b,418a,241a
167b,420a,241a
167b,420b,241a
167b,431a,241a
167b,484a,241a
167b,552a,241a
167b,555a,241a
167b,626a,241a
167b,631a,241a
167b,70a,241a
167b,70b,241a
167b,73a,241a
167b,73b,241a
167b,84a,241a
167b,93a,241a
167b,93b,241a
186a,186b,241a
186a,201a,241a
186a,202a,241a
186a,202b,241a
186a,226a,241a
186a,226b,241a
186a,241b,241a
186a,307a,241a
186a,307b,241a
186a,353a,241a
186a,355a,241a
186a,360a,241a
186a,370a,241a
186a,418a,241a
186a,420a,241a
186a,420b,241a
186a,431a,241a
186a,484a,241a
186a,552a,241a
186a,555a,241a
186a,626a,241a
186a,631a,241a
186a,70a,241a
186a,70b,241a
186a,73a,241a
186a,73b,241a
186a,84a,241a
186a,93a,241a
186a,93b,241a
186b,201a,241a
186b,202a,241a
186b,202b,241a
186b,226a,241a
186b,226b,241a
186b,241b,241a
186b,307a,241a
186b,307b,241a
186b,353a,241a
186b,355a,241a
186b,360a,241a
186b,370a,241a
186b,418a,241a
186b,420a,241a
186b,420b,241a
186b,431a,241a
186b,484a,241a
186b,552a,241a
186b,555a,241a
186b,626a,241a
186b,631a,241a
186b,70a,241a
186b,70b,241a
186b,73a,241a
186b,73b,241a
186b,84a,241a
186b,93a,241a
186b,93b,241a
201a,202a,241a
201a,202b,241a
201a,226a,241a
201a,226b,241a
201a,241b,241a
201a,307a,241a
201a,307b,241a
201a,353a,241a
201a,355a,241a
201a,360a,241a
201a,370a,241a
201a,418a,241a
201a,420a,241a
201a,420b,241a
201a,431a,241a
201a,484a,241a
201a,552a,241a
201a,555a,241a
201a,626a,241a
201a,631a,241a
201a,70a,241a
201a,70b,241a
201a,73a,241a
201a,73b,241a
201a,84a,241a
201a,93a,241a
201a,93b,241a
202a,202b,241a
202a,226a,241a
202a,226b,241a
202a,241b,241a
202a,307a,241a
202a,307b,241a
202a,353a,241a
202a,355a,241a
202a,360a,241a
202a,370a,241a
202a,418a,241a
202a,420a,241a
202a,420b,241a
202a,431a,241a
202a,484a,241a
202a,552a,241a
202a,555a,241a
202a,626a,241a
202a,631a,241a
202a,70a,241a
202a,70b,241a
202a,73a,241a
202a,73b,241a
202a,84a,241a
202a,93a,241a
202a,93b,241a
202b,226a,241a
202b,226b,241a
202b,241b,241a
202b,307a,241a
202b,307b,241a
202b,353a,241a
202b,355a,241a
202b,360a,241a
202b,370a,241a
202b,418a,241a
202b,420a,241a
202b,420b,241a
202b,431a,241a
202b,484a,241a
202b,552a,241a
202b,555a,241a
202b,626a,241a
202b,631a,241a
202b,70a,241a
202b,70b,241a
202b,73a,241a
202b,73b,241a
202b,84a,241a
202b,93a,241a
202b,93b,241a
226a,226b,241a
226a,241b,241a
226a,307a,241a
226a,307b,241a
226a,353a,241a
226a,355a,241a
226a,360a,241a
226a,370a,241a
226a,418a,241a
226a,420a,241a
226a,420b,241a
226a,431a,241a
226a,484a,241a
226a,552a,241a
226a,555a,241a
226a,626a,241a
226a,631a,241a
226a,70a,241a
226a,70b,241a
226a,73a,241a
226a,73b,241a
226a,84a,241a
226a,93a,241a
226a,93b,241a
226b,241b,241a
226b,307a,241a
226b,307b,241a
226b,353a,241a
226b,355a,241a
226b,360a,241a
226b,370a,241a
226b,418a,241a
226b,420a,241a
226b,420b,241a
226b,431a,241a
226b,484a,241a
226b,552a,241a
226b,555a,241a
226b,626a,241a
226b,631a,241a
226b,70a,241a
226b,70b,241a
226b,73a,241a
226b,73b,241a
226b,84a,241a
226b,93a,241a
226b,93b,241a
241b,307a,241a
241b,307b,241a
241b,353a,241a
241b,355a,241a
241b,360a,241a
241b,370a,241a
241b,418a,241a
241b,420a,241a
241b,420b,241a
241b,431a,241a
241b,484a,241a
241b,552a,241a
241b,555a,241a
241b,626a,241a
241b,631a,241a
241b,70a,241a
241b,70b,241a
241b,73a,241a
241b,73b,241a
241b,84a,241a
241b,93a,241a
241b,93b,241a
307a,307b,241a
307a,353a,241a
307a,355a,241a
307a,360a,241a
307a,370a,241a
307a,418a,241a
307a,420a,241a
307a,420b,241a
307a,431a,241a
307a,484a,241a
307a,552a,241a
307a,555a,241a
307a,626a,241a
307a,631a,241a
307a,70a,241a
307a,70b,241a
307a,73a,241a
307a,73b,241a
307a,84a,241a
307a,93a,241a
307a,93b,241a
307b,353a,241a
307b,355a,241a
307b,360a,241a
307b,370a,241a
307b,418a,241a
307b,420a,241a
307b,420b,241a
307b,431a,241a
307b,484a,241a
307b,552a,241a
307b,555a,241a
307b,626a,241a
307b,631a,241a
307b,70a,241a
307b,70b,241a
307b,73a,241a
307b,73b,241a
307b,84a,241a
307b,93a,241a
307b,93b,241a
353a,355a,241a
353a,360a,241a
353a,370a,241a
353a,418a,241a
353a,420a,241a
353a,420b,241a
353a,431a,241a
353a,484a,241a
353a,552a,241a
353a,555a,241a
353a,626a,241a
353a,631a,241a
353a,70a,241a
353a,70b,241a
353a,73a,241a
353a,73b,241a
353a,84a,241a
353a,93a,241a
353a,93b,241a
355a,360a,241a
355a,370a,241a
355a,418a,241a
355a,420a,241a
355a,420b,241a
355a,431a,241a
355a,484a,241a
355a,552a,241a
355a,555a,241a
355a,626a,241a
355a,631a,241a
355a,70a,241a
355a,70b,241a
355a,73a,241a
355a,73b,241a
355a,84a,241a
355a,93a,241a
355a,93b,241a
360a,370a,241a
360a,418a,241a
360a,420a,241a
360a,420b,241a
360a,431a,241a
360a,484a,241a
360a,552a,241a
360a,555a,241a
360a,626a,241a
360a,631a,241a
360a,70a,241a
360a,70b,241a
360a,73a,241a
360a,73b,241a
360a,84a,241a
360a,93a,241a
360a,93b,241a
370a,418a,241a
370a,420a,241a
370a,420b,241a
370a,431a,241a
370a,484a,241a
370a,552a,241a
370a,555a,241a
370a,626a,241a
370a,631a,241a
370a,70a,241a
370a,70b,241a
370a,73a,241a
370a,73b,241a
370a,84a,241a
370a,93a,241a
370a,93b,241a
418a,420a,241a
418a,420b,241a
418a,431a,241a
418a,484a,241a
418a,552a,241a
418a,555a,241a
418a,626a,241a
418a,631a,241a
418a,70a,241a
418a,70b,241a
418a,73a,241a
418a,73b,241a
418a,84a,241a
418a,93a,241a
418a,93b,241a
420a,420b,241a
420a,431a,241a
420a,484a,241a
420a,552a,241a
420a,555a,241a
420a,626a,241a
420a,631a,241a
420a,70a,241a
420a,70b,241a
420a,73a,241a
420a,73b,241a
420a,84a,241a
420a,93a,241a
420a,93b,241a
420b,431a,241a
420b,484a,241a
420b,552a,241a
420b,555a,241a
420b,626a,241a
420b,631a,241a
420b,70a,241a
420b,70b,241a
420b,73a,241a
420b,73b,241a
420b,84a,241a
420b,93a,241a
420b,93b,241a
431a,484a,241a
431a,552a,241a
431a,555a,241a
431a,626a,241a
431a,631a,241a
431a,70a,241a
431a,70b,241a
431a,73a,241a
431a,73b,241a
431a,84a,241a
431a,93a,241a
431a,93b,241a
484a,552a,241a
484a,555a,241a
484a,626a,241a
484a,631a,241a
484a,70a,241a
484a,70b,241a
484a,73a,241a
484a,73b,241a
484a,84a,241a
484a,93a,241a
484a,93b,241a
552a,555a,241a
552a,626a,241a
552a,631a,241a
552a,70a,241a
552a,70b,241a
552a,73a,241a
552a,73b,241a
552a,84a,241a
552a,93a,241a
552a,93b,241a
555a,626a,241a
555a,631a,241a
555a,70a,241a
555a,70b,241a
555a,73a,241a
555a,73b,241a
555a,84a,241a
555a,93a,241a
555a,93b,241a
626a,631a,241a
626a,70a,241a
626a,70b,241a
626a,73a,241a
626a,73b,241a
626a,84a,241a
626a,93a,241a
626a,93b,241a
631a,70a,241a
631a,70b,241a
631a,73a,241a
631a,73b,241a
631a,84a,241a
631a,93a,241a
631a,93b,241a
70a,70b,241a
70a,73a,241a
70a,73b,241a
70a,84a,241a
70a,93a,241a
70a,93b,241a
70b,73a,241a
70b,73b,241a
70b,84a,241a
70b,93a,241a
70b,93b,241a
73a,73b,241a
73a,84a,241a
73a,93a,241a
73a,93b,241a
73b,84a,241a
73b,93a,241a
73b,93b,241a
84a,93a,241a
84a,93b,241a
93a,93b,241a
144a,144b,241b
144a,151a,241b
144a,151b,241b
144a,167a,241b
144a,167b,241b
144a,186a,241b
144a,186b,241b
144a,201a,241b
144a,202a,241b
144a,202b,241b
144a,226a,241b
144a,226b,241b
144a,241a,241b
144a,307a,241b
144a,307b,241b
144a,353a,241b
144a,355a,241b
144a,360a,241b
144a,370a,241b
144a,418a,241b
144a,420a,241b
144a,420b,241b
144a,431a,241b
144a,484a,241b
144a,552a,241b
144a,555a,241b
144a,626a,241b
144a,631a,241b
144a,70a,241b
144a,70b,241b
144a,73a,241b
144a,73b,241b
144a,84a,241b
144a,93a,241b
144a,93b,241b
144b,151a,241b
144b,151b,241b
144b,167a,241b
144b,167b,241b
144b,186a,241b
144b,186b,241b
144b,201a,241b
144b,202a,241b
144b,202b,241b
144b,226a,241b
144b,226b,241b
144b,241a,241b
144b,307a,241b
144b,307b,241b
144b,353a,241b
144b,355a,241b
144b,360a,241b
144b,370a,241b
144b,418a,241b
144b,420a,241b
144b,420b,241b
144b,431a,241b
144b,484a,241b
144b,552a,241b
144b,555a,241b
144b,626a,241b
144b,631a,241b
144b,70a,241b
144b,70b,241b
144b,73a,241b
144b,73b,241b
144b,84a,241b
144b,93a,241b
144b,93b,241b
151a,151b,241b
151a,167a,241b
151a,167b,241b
151a,186a,241b
151a,186b,241b
151a,201a,241b
151a,202a,241b
151a,202b,241b
151a,226a,241b
151a,226b,241b
151a,241a,241b
151a,307a,241b
151a,307b,241b
151a,353a,241b
151a,355a,241b
151a,360a,241b
151a,370a,241b
151a,418a,241b
151a,420a,241b
151a,420b,241b
151a,431a,241b
151a,484a,241b
151a,552a,241b
151a,555a,241b
151a,626a,241b
151a,631a,241b
151a,70a,241b
151a,70b,241b
151a,73a,241b
151a,73b,241b
151a,84a,241b
151a,93a,241b
151a,93b,241b
151b,167a,241b
151b,167b,241b
151b,186a,241b
151b,186b,241b
151b,201a,241b
151b,202a,241b
151b,202b,241b
151b,226a,241b
151b,226b,241b
151b,241a,241b
151b,307a,241b
151b,307b,241b
151b,353a,241b
151b,355a,241b
151b,360a,241b
151b,370a,241b
151b,418a,241b
151b,420a,241b
151b,420b,241b
151b,431a,241b
151b,484a,241b
151b,552a,241b
151b,555a,241b
151b,626a,241b
151b,631a,241b
151b,70a,241b
151b,70b,241b
151b,73a,241b
151b,73b,241b
151b,84a,241b
151b,93a,241b
151b,93b,241b
167a,167b,241b
167a,186a,241b
167a,186b,241b
167a,201a,241b
167a,202a,241b
167a,202b,241b
167a,226a,241b
167a,226b,241b
167a,241a,241b
167a,307a,241b
167a,307b,241b
167a,353a,241b
167a,355a,241b
167a,360a,241b
167a,370a,241b
167a,418a,241b
167a,420a,241b
167a,420b,241b
167a,431a,241b
167a,484a,241b
167a,552a,241b
167a,555a,241b
167a,626a,241b
167a,631a,241b
167a,70a,241b
167a,70b,241b
167a,73a,241b
167a,73b,241b
167a,84a,241b
167a,93a,241b
167a,93b,241b
167b,186a,241b
167b,186b,241b
167b,201a,241b
167b,202a,241b
167b,202b,241b
167b,226a,241b
167b,226b,241b
167b,241a,241b
167b,307a,241b
167b,307b,241b
167b,353a,241b
167b,355a,241b
167b,360a,241b
167b,370a,241b
167b,418a,241b
167b,420a,241b
167b,420b,241b
167b,431a,241b
167b,484a,241b
167b,552a,241b
167b,555a,241b
167b,626a,241b
167b,631a,241b
167b,70a,241b
167b,70b,241b
167b,73a,241b
167b,73b,241b
167b,84a,241b
167b,93a,241b
167b,93b,241b
186a,186b,241b
186a,201a,241b
186a,202a,241b
186a,202b,241b
186a,226a,241b
186a,226b,241b
186a,241a,241b
186a,307a,241b
186a,307b,241b
186a,353a,241b
186a,355a,241b
186a,360a,241b
186a,370a,241b
186a,418a,241b
186a,420a,241b
186a,420b,241b
186a,431a,241b
186a,484a,241b
186a,552a,241b
186a,555a,241b
186a,626a,241b
186a,631a,241b
186a,70a,241b
186a,70b,241b
186a,73a,241b
186a,73b,241b
186a,84a,241b
186a,93a,241b
186a,93b,241b
186b,201a,241b
186b,202a,241b
186b,202b,241b
186b,226a,241b
186b,226b,241b
186b,241a,241b
186b,307a,241b
186b,307b,241b
186b,353a,241b
186b,355a,241b
186b,360a,241b
186b,370a,241b
186b,418a,241b
186b,420a,241b
186b,420b,241b
186b,431a,241b
186b,484a,241b
186b,552a,241b
186b,555a,241b
186b,626a,241b
186b,631a,241b
186b,70a,241b
186b,70b,241b
186b,73a,241b
186b,73b,241b
186b,84a,241b
186b,93a,241b
186b,93b,241b
201a,202a,241b
201a,202b,241b
201a,226a,241b
201a,226b,241b
201a,241a,241b
201a,307a,241b
201a,307b,241b
201a,353a,241b
201a,355a,241b
201a,360a,241b
201a,370a,241b
201a,418a,241b
201a,420a,241b
201a,420b,241b
201a,431a,241b
201a,484a,241b
201a,552a,241b
201a,555a,241b
201a,626a,241b
201a,631a,241b
201a,70a,241b
201a,70b,241b
201a,73a,241b
201a,73b,241b
201a,84a,241b
201a,93a,241b
201a,93b,241b
202a,202b,241b
202a,226a,241b
202a,226b,241b
202a,241a,241b
202a,307a,241b
202a,307b,241b
202a,353a,241b
202a,355a,241b
202a,360a,241b
202a,370a,241b
202a,418a,241b
202a,420a,241b
202a,420b,241b
202a,431a,241b
202a,484a,241b
202a,552a,241b
202a,555a,241b
202a,626a,241b
202a,631a,241b
202a,70a,241b
202a,70b,241b
202a,73a,241b
202a,73b,241b
202a,84a,241b
202a,93a,241b
202a,93b,241b
202b,226a,241b
202b,226b,241b
